member,phrase,version,mfcc_mean,rolloff_mean,energy
Nelly,yes_approve,original,-72.16099,8927.086275540865,1.0422982e-10
Nelly,yes_approve,pitch_shifted,-75.934135,8958.640700120191,4.5994653e-11
Nelly,yes_approve,time_stretched,-74.97576,8926.609293619791,5.100829e-11
Nelly,confirm_transaction,original,-72.10475,8923.525015024039,1.04328116e-10
Nelly,confirm_transaction,pitch_shifted,-76.10204,8952.180739182691,4.6459857e-11
Nelly,confirm_transaction,time_stretched,-74.99535,8918.434651692709,5.1310813e-11
Tanguy,yes_approve,original,-71.24938,8607.98076923077,8.630755e-09
Tanguy,yes_approve,pitch_shifted,-74.91441,8559.199782151441,3.6057979e-09
Tanguy,yes_approve,time_stretched,-73.853195,8517.976888020834,2.203617e-09
Tanguy,confirm_transaction,original,-72.17205,8931.227276141826,1.026844e-10
Tanguy,confirm_transaction,pitch_shifted,-76.06478,8951.3525390625,4.5824025e-11
Tanguy,confirm_transaction,time_stretched,-74.948456,8930.497233072916,5.05825e-11
Branis,yes_approve,original,-72.077446,8894.869290865385,1.5221538e-10
Branis,yes_approve,pitch_shifted,-76.040306,8918.721454326924,5.6020882e-11
Branis,yes_approve,time_stretched,-74.879944,8904.677327473959,6.196186e-11
Branis,confirm_transaction,original,-71.26652,8755.566030649039,1.0699448e-09
Branis,confirm_transaction,pitch_shifted,-75.0139,8814.782339242789,4.8294774e-10
Branis,confirm_transaction,time_stretched,-74.03018,8750.056966145834,4.6451515e-10
Nhial,yes_approve,original,-71.94106,8896.939791165865,1.1006542e-10
Nhial,yes_approve,pitch_shifted,-75.85574,8906.795372596154,4.8706907e-11
Nhial,yes_approve,time_stretched,-74.733665,8897.300211588541,5.3946524e-11
Nhial,confirm_transaction,original,-71.99329,8923.525015024039,1.05705056e-10
Nhial,confirm_transaction,pitch_shifted,-75.88799,8949.613318810096,4.723466e-11
Nhial,confirm_transaction,time_stretched,-74.86496,8930.397542317709,5.1866803e-11
