member,image_type,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47
Branis,neutral,2462,3339,7379,11832,7560,5986,2669,2026,1834,1842,2973,3163,2910,3594,3445,2522,2379,2921,2789,5475,9112,11792,10678,6226,6633,4284,1460,903,343,221,44,276,2223,2927,3435,6662,10830,14226,12841,6131,2680,1312,887,657,301,135,29,260
Branis,smiling,1032,8727,10143,8120,5434,3472,2833,2871,2765,3184,2766,3153,2674,2407,4207,1748,1155,2461,10876,12434,9242,5875,5111,4186,3358,2498,1552,1946,3544,1123,37,138,1586,4231,9789,16657,9440,4895,4175,3622,2588,2808,4257,792,445,90,31,130
Branis,surprised,3177,3580,5990,7811,5022,2172,2263,1975,1848,2876,4787,5606,5676,6150,4115,2488,3266,3194,2717,3910,7047,13312,9166,9721,7355,3309,1300,667,306,165,31,70,3422,3661,5292,12619,14757,12092,6896,2629,1789,1041,616,425,165,55,20,57
Branis,neutral_rotated,12601,3150,6126,9731,6657,5461,2288,1827,1647,1437,2173,2537,2206,2886,2941,1868,12523,2897,2519,4123,7558,10150,8925,4663,5808,3682,1222,854,307,143,33,129,12374,2893,3037,4959,7630,12357,11750,5286,2268,1162,720,596,249,118,24,113
Branis,neutral_flipped,2462,3339,7379,11832,7560,5986,2669,2026,1834,1842,2973,3163,2910,3594,3445,2522,2379,2921,2789,5475,9112,11792,10678,6226,6633,4284,1460,903,343,221,44,276,2223,2927,3435,6662,10830,14226,12841,6131,2680,1312,887,657,301,135,29,260
Branis,neutral_grayscale,2363,2914,2921,6706,10378,10274,6761,5137,4899,5834,4591,1819,423,201,42,273,2363,2914,2921,6706,10378,10274,6761,5137,4899,5834,4591,1819,423,201,42,273,2363,2914,2921,6706,10378,10274,6761,5137,4899,5834,4591,1819,423,201,42,273
Branis,smiling_rotated,11098,8255,9138,6323,3650,2585,2563,2679,2599,3009,2629,2838,2411,2086,2785,888,11200,2173,9706,10512,7066,5358,4877,3973,3194,2200,1329,1518,1969,285,36,140,11658,3925,8718,14084,7671,4419,3896,3265,2292,2242,2230,593,322,60,28,133
Branis,smiling_flipped,1032,8727,10143,8120,5434,3472,2833,2871,2765,3184,2766,3153,2674,2407,4207,1748,1155,2461,10876,12434,9242,5875,5111,4186,3358,2498,1552,1946,3544,1123,37,138,1586,4231,9789,16657,9440,4895,4175,3622,2588,2808,4257,792,445,90,31,130
Branis,smiling_grayscale,1039,2402,12461,11194,7603,5471,4412,4326,3762,3237,2546,1716,3078,2104,49,136,1039,2402,12461,11194,7603,5471,4412,4326,3762,3237,2546,1716,3078,2104,49,136,1039,2402,12461,11194,7603,5471,4412,4326,3762,3237,2546,1716,3078,2104,49,136
Branis,surprised_rotated,13312,3561,4994,6016,3347,1980,2120,1787,1634,2066,3756,4404,4824,5685,3807,2243,13389,3177,2254,3466,6005,8804,7366,8832,6857,3064,1239,648,241,96,26,72,13519,3630,3608,9753,13618,10310,4911,2505,1609,868,500,408,162,54,23,58
Branis,surprised_flipped,3177,3580,5990,7811,5022,2172,2263,1975,1848,2876,4787,5606,5676,6150,4115,2488,3266,3194,2717,3910,7047,13312,9166,9721,7355,3309,1300,667,306,165,31,70,3422,3661,5292,12619,14757,12092,6896,2629,1789,1041,616,425,165,55,20,57
Branis,surprised_grayscale,3210,3177,2651,4786,8850,6465,5443,8296,9107,7383,4344,1188,402,137,30,67,3210,3177,2651,4786,8850,6465,5443,8296,9107,7383,4344,1188,402,137,30,67,3210,3177,2651,4786,8850,6465,5443,8296,9107,7383,4344,1188,402,137,30,67
